video_id,title,channel_title,trending_date,views,likes,comment_count,engagement_rate,view_zscore,like_zscore,comment_zscore,is_anomaly
Am6NHDbj6XA,Donald Glover on This is America Music Video,Jimmy Kimmel Live,18.17.05,5894832,99272,3425,1.68,2.84,2.35,0.13,true
V5cOvyDpWfM,Fergie Performs The U.S. National Anthem / 2018 NBA All-Star Game,MLG Highlights,18.28.02,21005589,59281,65181,0.28,2.84,2.87,2.88,true
IBVo8dfqTBc,Rey Mysterio makes a shocking return in the Royal Rumble Match: Royal Rumble 2018 (WWE Network),WWE,18.01.02,9159408,165056,17398,1.8,2.84,3.91,2.73,true
jb-To6qJcxU,Watch Cardi B's 90 Second Makeup Routine | ELLE,ELLE,18.16.01,906699,24705,938,2.72,2.84,1.61,0.82,true
O6BODAJVYc8,"2017, in 7 minutes",Vox,18.01.01,1565942,69361,18227,4.43,2.84,4.9,4.69,true
GtzFWqiVzW4,Tamar Braxton Ex's Alleged New Fling Laura Govan Speaks Out | Daily Pop | E! News,E! News,18.09.01,116925,649,417,0.56,2.83,2.88,2.93,true
TI5bEf-BULU,How Michael B. Jordan's Black Panther Makeup Was Done — Exclusive Behind The Scenes,INSIDER,18.21.05,13664869,133737,5776,0.98,2.83,2.64,2.55,true
qUmfriZoMw0,Westworld Season 2 | Official Super Bowl LII Ad | HBO,HBO,18.13.02,11385180,39894,2800,0.35,2.82,1.42,0.18,true
Wm8QlNCk-wg,Casting Mirror Polished Japanese Foil Ball from Molten Aluminium,PressTube,18.19.04,5597364,107171,6890,1.91,2.82,2.96,2.97,true
RQUuqbzQVsY,"Liam Payne, Rita Ora - For You (Fifty Shades Freed)",FiftyShadesVEVO,18.01.02,13809604,475593,20933,3.44,2.82,2.33,2.17,true
N39uwTykTQk,THE BICYCLE OF SPRINGS,colinfurze,18.13.06,6070853,163343,9224,2.69,2.82,2.35,2.36,true
_9YMpuLDnwo,42 HOLY GRAIL HACKS THAT WILL SAVE YOU A FORTUNE,5-Minute Crafts,17.11.12,54155921,378111,24679,0.7,2.81,2.68,2.2,true
qUmfriZoMw0,Westworld Season 2 | Official Super Bowl LII Ad | HBO,HBO,18.12.02,11358208,39601,2778,0.35,2.81,1.4,0.17,true
q8v9MvManKE,Earth Day 2018 Google Doodle,googledoodles,18.03.05,11979805,408461,17964,3.41,2.81,3.04,3.07,true
5n9xafjynJA,Tesla Semi truck and Roadster event in 9 minutes,The Verge,17.24.11,2175978,37009,5657,1.7,2.81,1.9,2.32,true
J_CFBjAyPWE,Red Velvet 레드벨벳 'Bad Boy' MV,SMTOWN,18.02.02,16773819,995657,121200,5.94,2.81,1.94,2.01,true
t9GNMVfEiG4,Gingerbread Cookies - You Suck at Cooking (episode 70),You Suck At Cooking,18.04.01,1535269,59280,6699,3.86,2.8,2.84,2.07,true
P3Bd3HUMkyU,First Look at Nintendo Labo,Nintendo,18.21.01,8349078,243562,61834,2.92,2.8,2.99,2.72,true
V5cOvyDpWfM,Fergie Performs The U.S. National Anthem / 2018 NBA All-Star Game,MLG Highlights,18.27.02,20747860,57929,64134,0.28,2.8,2.78,2.82,true
I7LJIuB2CHE,Elon Musk on how Falcon Heavy will change space travel,The Verge,18.13.02,2168569,58994,5005,2.72,2.8,3.55,1.92,true
iGXYZwZEZa0,How small a hole can a mouse get through?  Experiments.,Matthias Wandel,17.15.12,3016262,36090,5792,1.2,2.8,2.78,1.82,true
qUmfriZoMw0,Westworld Season 2 | Official Super Bowl LII Ad | HBO,HBO,18.11.02,11291868,39156,2764,0.35,2.79,1.37,0.16,true
hwQnXjZwQUQ,10 BEST Moments From 2018 Golden Globes,Clevver News,18.14.01,1905945,11534,3181,0.61,2.79,1.94,2.68,true
wbSwFU6tY1c,Falcon Heavy Test Flight,SpaceX,18.13.02,19994026,379285,37523,1.9,2.79,2.64,2.72,true
AiH3nDqWr9I,Film Theory: Phineas and Ferb's SECRET Hero!,The Film Theorists,18.16.02,8999134,147103,19063,1.63,2.79,1.1,-0.05,true
0-7wMD5ISIs,ABANDONED MALL TURNED INTO WINTER WONDERLAND,CaseyNeistat,17.28.12,6647081,232199,15366,3.49,2.79,1.86,0.84,true
8-u5nd2GqNE,The Secret Protocol for When the Queen Dies,Half as Interesting,17.23.11,1105611,27738,4830,2.51,2.78,2.73,1.85,true
NKmGVE85GUU,Why can't you divide by zero? - TED-Ed,TED-Ed,18.30.04,1077730,36452,2918,3.38,2.78,2.97,2.83,true
pMpQABKlC-I,How To Speak Internet 101 (ft. Will Smith),IISuperwomanII,18.04.01,4147252,243307,22917,5.87,2.78,2.42,2.58,true
5LoBGoQPUNc,Jennifer Lawrence Takes a Lie Detector Test | Vanity Fair,Vanity Fair,18.06.03,5071824,104444,8138,2.06,2.78,2.41,2.84,true
VMRIc4ayRlM,JUSTICE LEAGUE A Box Office Disaster - Box Office Report,John Campea,17.22.11,108845,3131,3530,2.88,2.77,2.31,3.6,true
t9GNMVfEiG4,Gingerbread Cookies - You Suck at Cooking (episode 70),You Suck At Cooking,18.03.01,1527454,59080,6707,3.87,2.77,2.81,2.08,true
0-7wMD5ISIs,ABANDONED MALL TURNED INTO WINTER WONDERLAND,CaseyNeistat,17.27.12,6620905,231177,15297,3.49,2.77,1.84,0.83,true
TI5bEf-BULU,How Michael B. Jordan's Black Panther Makeup Was Done — Exclusive Behind The Scenes,INSIDER,18.20.05,13429861,132046,5685,0.98,2.77,2.59,2.49,true
yDiXQl7grPQ,Do You Hear Yanny or Laurel? (SOLVED with SCIENCE),AsapSCIENCE,18.24.05,37977628,531656,166069,1.4,2.77,2.79,2.76,true
qUmfriZoMw0,Westworld Season 2 | Official Super Bowl LII Ad | HBO,HBO,18.10.02,11224337,38738,2725,0.35,2.77,1.34,0.14,true
EKkzbbLYPuI,Lindsey Stirling - Carol of the Bells,Lindsey Stirling,17.08.12,4355869,184474,7090,4.24,2.77,2.2,2.35,true
JpvC3j9Qxus,Mo'Nique Speaks On Racial And Gender Inequality In Hollywood + More,Breakfast Club Power 105.1 FM,18.28.02,2606526,38261,57618,1.47,2.77,2.62,3.33,true
VRJmcxCrAOA,Real Life Trick Shots 2 | Dude Perfect,Dude Perfect,18.28.01,26019027,970812,48465,3.73,2.76,2.92,2.21,true
k2NskGo6x40,Danielle Bregoli Rejects Logan Paul's Apologies Over Suicide/Hanging Video | TMZ,TMZ,18.08.01,5869057,120173,34887,2.05,2.75,3.2,3.2,true
Ev9rOA2Yjs0,5 McDonald's Gadgets put to the Test!,CrazyRussianHacker,18.17.01,2256634,43431,4220,1.92,2.75,1.31,0.49,true
0-7wMD5ISIs,ABANDONED MALL TURNED INTO WINTER WONDERLAND,CaseyNeistat,17.26.12,6588744,229931,15220,3.49,2.75,1.82,0.82,true
D7plDibrP1U,Father on worst nightmare of daughter trapped in school during shooting,CBS News,18.17.02,2345861,11497,15264,0.49,2.75,2.96,3.1,true
cytyAgu9-bA,DEADMAU5 said this Bassline is IMPOSSIBLE...,Davie504,18.28.02,2953965,128006,9251,4.33,2.75,2.66,2.6,true
I7LJIuB2CHE,Elon Musk on how Falcon Heavy will change space travel,The Verge,18.12.02,2137721,58028,4976,2.71,2.75,3.48,1.91,true
fJe0cmOvM94,Match the Job to the Person | Lineup | Cut,Cut,18.11.02,2302182,60183,2800,2.61,2.75,2.27,1.57,true
5n9xafjynJA,Tesla Semi truck and Roadster event in 9 minutes,The Verge,17.23.11,2141930,36844,5640,1.72,2.75,1.89,2.31,true
nRafaCcfrcI,73 Questions With Liza Koshy | Vogue,Vogue,17.19.11,5514929,439189,21011,7.96,2.75,3.03,2.83,true
0r-zYs6NQu8,What If You Didn't Sleep For A Week? ft. TheOdd1sOut,Life Noggin,18.24.03,1446981,59734,17054,4.13,2.75,3.91,4.09,true
7C2z4GqqS5E,BTS (방탄소년단) 'FAKE LOVE' Official MV,ibighit,18.30.05,115664850,5530568,1213172,4.78,2.75,2.31,2.28,true
uA8GdJJqz_s,Physicist Stephen Hawking has died,CNN,18.17.03,3110326,52822,30059,1.7,2.74,3.27,1.93,true
3BJU2drrtCM,How a TV Works in Slow Motion - The Slow Mo Guys,The Slow Mo Guys,18.21.01,7296078,347154,15487,4.76,2.74,3.34,3.02,true
Wzq4qbNRFrw,HIGH SCHOOL IN 2008 VS 2018,Smosh,18.07.06,2975755,81384,7356,2.73,2.74,2.19,1.75,true
N39uwTykTQk,THE BICYCLE OF SPRINGS,colinfurze,18.12.06,5958796,162064,9189,2.72,2.74,2.32,2.34,true
HTi1c_tLnqw,Nick Jonas - Home,NickJonasVEVO,17.19.12,869519,46606,1472,5.36,2.74,2.31,2.05,true
6ZfuNTqbHE8,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,17.03.12,74789251,2444952,330710,3.27,2.74,2.88,3.0,true
p8XP7A7kvzM,Spill Your Guts or Fill Your Guts w/ Kim Kardashian,The Late Late Show with James Corden,17.18.11,8072982,174944,9529,2.17,2.74,1.4,1.08,true
qUmfriZoMw0,Westworld Season 2 | Official Super Bowl LII Ad | HBO,HBO,18.09.02,11146378,38169,2678,0.34,2.74,1.31,0.12,true
V5cOvyDpWfM,Fergie Performs The U.S. National Anthem / 2018 NBA All-Star Game,MLG Highlights,18.26.02,20393752,56243,62623,0.28,2.74,2.67,2.74,true
t9GNMVfEiG4,Gingerbread Cookies - You Suck at Cooking (episode 70),You Suck At Cooking,18.02.01,1518821,58831,6686,3.87,2.74,2.78,2.07,true
FhllRWReNEE,Melting Every Lipstick From Sephora Together,Safiya Nygaard,18.21.04,7223754,391342,378185,5.42,2.74,3.2,4.51,true
0-7wMD5ISIs,ABANDONED MALL TURNED INTO WINTER WONDERLAND,CaseyNeistat,17.25.12,6550370,228386,15116,3.49,2.73,1.8,0.8,true
P_If9xMyl10,The Voice 2018 Blind Audition - Stephanie Skipper: Piece By Piece,The Voice,18.24.03,3281144,36898,1888,1.12,2.73,2.48,-0.01,true
pMpQABKlC-I,How To Speak Internet 101 (ft. Will Smith),IISuperwomanII,18.03.01,4099399,241530,22835,5.89,2.72,2.39,2.56,true
r8FQ5wUYm9c,Don't Talk - Cyanide & Happiness Shorts,ExplosmEntertainment,17.13.12,2277409,82882,4774,3.64,2.72,2.67,1.56,true
7iQn-toQp6A,Benjamin Glaze Auditions for American Idol With Nick Jonas' Levels - American Idol 2018 on ABC,American Idol,18.16.03,4303102,11415,2916,0.27,2.72,-1.44,0.61,true
qfZcxeqa1g4,M&M’S Super Bowl Commercial 2018 (featuring Danny DeVito) – ‘Human’ :30,mmschocolate,18.04.02,1152451,3397,333,0.29,2.72,-0.16,-0.15,true
TI5bEf-BULU,How Michael B. Jordan's Black Panther Makeup Was Done — Exclusive Behind The Scenes,INSIDER,18.19.05,13167973,130073,5634,0.99,2.71,2.55,2.46,true
kton-qrKNLc,Meghan Trainor - No Excuses,MeghanTrainorVEVO,18.14.03,16755944,346310,22653,2.07,2.71,2.27,2.11,true
qUmfriZoMw0,Westworld Season 2 | Official Super Bowl LII Ad | HBO,HBO,18.08.02,11029887,37183,2642,0.34,2.71,1.24,0.11,true
exsOim0Lyl4,President Donald Trump’s State of the Union Address 2018 (Full) | NBC News,NBC News,18.01.02,1469703,17050,3441,1.16,2.71,3.16,2.09,true
L8gV7LSt6sI,Fallout 76 Trailer - E3 2018,IGN,18.12.06,1729107,45820,7779,2.65,2.7,3.28,2.22,true
4kDklB6-69Q,Poo Bear ft. Justin Bieber & Jay Electronica - Hard 2 Face Reality (Lyric Video),Hannah Stocking,18.19.04,21393511,706501,56121,3.3,2.7,2.82,2.83,true
wbSwFU6tY1c,Falcon Heavy Test Flight,SpaceX,18.12.02,19453342,375777,37015,1.93,2.7,2.61,2.67,true
